h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.002318036,0.0,0.079164912,0.385739034,0.479446865,0.553212774,0.470017836,0.480267392,0.483708744,0.48412538,0.482839774,0.481207758,0.473754725,0.477877046,0.824570388,0.996633036,1.0,1.0,0.999322342,0.700139178,0.371192109,0.132107773,0.003421077
0.000431279,0.0,0.073301772,0.347565055,0.469010094,0.478701872,0.478418198,0.455285623,0.477261892,0.455598588,0.468793811,0.478417831,0.419580862,0.480139384,0.717256618,0.974821273,1.0,1.0,1.0,0.957489889,0.673245635,0.394636735,0.130441027
0.72538107,0.0,0.19995911,0.163593004,0.179634716,0.0,0.51091131,0.727663209,0.776976255,0.782281189,0.745642548,0.73067645,0.730550588,0.735490919,0.859954411,1.0,0.863216108,0.761775827,0.556495995,0.50800171,0.0,0.292183161,0.221250613
0.002211035,0.0,0.069387368,0.346903961,0.478494313,0.48254511,0.479381569,0.477871911,0.478678879,0.474441071,0.473982517,0.475567318,0.410310978,0.428031826,0.721804431,0.889246676,1.0,1.0,1.0,0.955892742,0.437608656,0.306877646,0.112110873
0.0,0.000311214,0.054388952,0.305572622,0.392906159,0.478789158,0.44086237,0.470540258,0.435173875,0.466177296,0.466136027,0.481066978,0.481066978,0.441328411,0.736525598,0.931426509,1.0,1.0,1.0,1.0,0.761713962,0.40789008,0.468923034
0.177830166,0.181226404,0.209193575,0.0,0.514521549,0.538284278,0.570025571,0.574897429,0.562563638,0.57347939,0.574962256,0.574962256,0.0,0.449423194,0.714971011,0.862483908,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.001749178,0.0,0.07607225,0.403247684,0.451889877,0.48096789,0.483465739,0.48491545,0.482837148,0.481129427,0.48114913,0.480880326,0.408448997,0.463184154,0.761906683,0.983759761,1.0,1.0,1.0,0.74171614,0.338656344,0.131018252,0.007547654
0.000995143,0.0,0.070249101,0.371303854,0.466278274,0.482130232,0.478456324,0.479934911,0.474694236,0.479403213,0.441887887,0.481734191,0.481734191,0.348947486,0.696840359,0.870695761,1.0,1.0,1.0,1.0,0.851602699,0.433214679,0.306821363
0.522002926,0.314627519,0.218219823,0.212211057,0.198227033,0.340507821,0.527276992,0.682056206,0.703583217,0.830986812,0.716250595,0.702274614,0.710184514,0.717068411,0.917096024,0.903571217,1.0,0.815096439,0.683556853,0.610982479,0.0,0.252500423,0.206939176
0.4642655,0.177229157,0.021360741,0.013445292,0.0,0.185595673,0.497415355,0.604517266,0.640520693,0.824961634,0.659749749,0.621786396,0.617300874,0.774613148,0.971126621,0.921220992,1.0,0.980195313,0.894891811,0.605697537,0.481774104,0.185595673,0.013026998
